Produto,Custo_Manufatura,Preco_Venda,Spread,Margem_Perc,Mercado_Venda,Sourcing_Insumos
Attuned Sylvan Staff IV,182.45,4444.0,4261.55,95.9,merrie-ulaid,Tattered Locket@kerys-aven; Quicksilver@kerys-aven; Fine Spear Shaft@merrie-shire; Long Fine Wood Stock@kerys-llydaw; Cotton Cord@merrie-nene; Coarse Leather Band@merrie-ardbog; Linseed Oil@kerys-aven
Attuned Staff of Zephyr IV,830.45,4444.0,3613.55,81.3,merrie-ulaid,Cubic Ethereal Crystal@kerys-bronyr; Pearl@kerys-dolavon; Fine Spear Shaft@merrie-shire; Long Fine Wood Stock@kerys-llydaw; Cotton Cord@merrie-nene; Coarse Leather Band@merrie-ardbog; Linseed Oil@kerys-aven
Warded Staff of Divine III,1638.5,5000.0,3361.5,67.2,kerys-tremen,Multifaceted Ethereal Crystal@inis_gallia-vitry; Great Locket of the Horizon@kerys-aven; Starwort@kerys-pladenn; Spear Shaft@inis_gallia-jura; Long Fine Wood Stock@kerys-llydaw; Wool Yarn@ancien-tursan; Coarse Leather Band@merrie-ardbog; Linseed Oil@kerys-aven; Bronze Sheet@inis_gallia-trecassis
Attuned Sylvan Staff III,1678.3,5000.0,3321.7,66.4,inis_gallia-langres,Cracked Sigil@inis_gallia-langres; Hematite@ancien-tolosa; Spear Shaft@inis_gallia-jura; Long Fine Wood Stock@kerys-llydaw; Wool Yarn@ancien-tursan; Coarse Leather Band@merrie-ardbog; Linseed Oil@kerys-aven; Bronze Sheet@inis_gallia-trecassis
Attuned Staff of Divine IV,930.45,3500.0,2569.55,73.4,merrie-ulaid,Cubic Ethereal Crystal@kerys-bronyr; Cuprite@kerys-dreger; Fine Spear Shaft@merrie-shire; Long Fine Wood Stock@kerys-llydaw; Cotton Cord@merrie-nene; Coarse Leather Band@merrie-ardbog; Linseed Oil@kerys-aven
Steel Anvil Head,610.8,3000.0,2389.2,79.6,kerys-dolavon,Steel Ingot@kerys-dolavon; Charcoal@merrie-shire
Warded Wrought Iron Battleaxe,211.2,2499.0,2287.8,91.5,merrie-ulaid,Cracked Locket@kerys-aven; Great Orb of the Twilight@ancien-astarac; Axe Handle@ancien-tursan; Wrought Iron Axe Head@merrie-ulaid; Iron Nails@merrie-wiht; Coarse Leather Band@merrie-ardbog; Wrought Iron Spike@ancien-tursan
Attuned Staff of Zephyr III,634.6,2500.0,1865.4,74.6,inis_gallia-javerdus,Multifaceted Ethereal Crystal@inis_gallia-vitry; Starwort Extract@inis_gallia-trecassis; Spear Shaft@inis_gallia-jura; Long Fine Wood Stock@kerys-llydaw; Wool Yarn@ancien-tursan; Coarse Leather Band@merrie-ardbog; Linseed Oil@kerys-aven; Bronze Sheet@inis_gallia-trecassis
Warded Two-handed Iron Spear,1160.21,2995.0,1834.79,61.3,ancien-tolosa,Worn Out Locket@kerys-llydaw; Relic of the Passage@kerys-pladenn; Spear Shaft@inis_gallia-jura; Iron Spike@inis_gallia-nones; Bronze Nails@kerys-aven; Coarse Leather Band@merrie-ardbog; Iron Bar@inis_gallia-nones
Staff of Zephyr IV,230.45,1750.0,1519.55,86.8,merrie-shire,Pearl@kerys-dolavon; Fine Spear Shaft@merrie-shire; Long Fine Wood Stock@kerys-llydaw; Cotton Cord@merrie-nene; Coarse Leather Band@merrie-ardbog; Linseed Oil@kerys-aven
